athlete_id,rank,discipline,season,date,event_id,location,event_stage,firstname,lastname,age,gender,country,height,arm_span,birthdate,worldcup,event_type,total_points
,3,boulder,2025,2025-10-31,9999,World Cup 2025,final,Sohta,AMAGASA,,male,JPN,,,,True,season_total,3240
,4,boulder,2025,2025-10-31,9999,World Cup 2025,final,Dohyun,LEE,,male,KOR,,,,True,season_total,3105
,5,boulder,2025,2025-10-31,9999,World Cup 2025,final,Hannes,VAN DUYSEN,,male,BEL,,,,True,season_total,2355
,6,boulder,2025,2025-10-31,9999,World Cup 2025,final,Paul,JENFT,,male,FRA,,,,True,season_total,1965
,7,boulder,2025,2025-10-31,9999,World Cup 2025,final,Tomoa,NARASAKI,,male,JPN,,,,True,season_total,1941
,8,boulder,2025,2025-10-31,9999,World Cup 2025,final,Anze,PEHARC,,male,SLO,,,,True,season_total,1925
,9,boulder,2025,2025-10-31,9999,World Cup 2025,final,Meichi,NARASAKI,,male,JPN,,,,True,season_total,1875
,10,boulder,2025,2025-10-31,9999,World Cup 2025,final,Yufei,PAN,,male,CHN,,,,True,season_total,1764
,1,lead,2025,2025-10-31,9999,World Cup 2025,final,Alberto,GINÉS LÓPEZ,,male,ESP,,,,True,season_total,4485
,2,lead,2025,2025-10-31,9999,World Cup 2025,final,Sorato,ANRAKU,,male,JPN,,,,True,season_total,4145
,3,lead,2025,2025-10-31,9999,World Cup 2025,final,Satone,YOSHIDA,,male,JPN,,,,True,season_total,4130
,4,lead,2025,2025-10-31,9999,World Cup 2025,final,Neo,SUZUKI,,male,JPN,,,,True,season_total,3315
,5,lead,2025,2025-10-31,9999,World Cup 2025,final,Dohyun,LEE,,male,KOR,,,,True,season_total,2950
,6,lead,2025,2025-10-31,9999,World Cup 2025,final,Yannick,FLOHÉ,,male,GER,,,,True,season_total,2485
,7,lead,2025,2025-10-31,9999,World Cup 2025,final,Filip,SCHENK,,male,ITA,,,,True,season_total,2245
,8,lead,2025,2025-10-31,9999,World Cup 2025,final,Toby,ROBERTS,,male,GBR,,,,True,season_total,2240
,9,lead,2025,2025-10-31,9999,World Cup 2025,final,Max,BERTONE,,male,FRA,,,,True,season_total,2195
,10,lead,2025,2025-10-31,9999,World Cup 2025,final,Shion,OMATA,,male,JPN,,,,True,season_total,1866
,1,speed,2025,2025-10-31,9999,World Cup 2025,final,Kiromal,KATIBIN,,male,INA,,,,True,season_total,3945
,2,speed,2025,2025-10-31,9999,World Cup 2025,final,Samuel,WATSON,,male,USA,,,,True,season_total,3629
,3,speed,2025,2025-10-31,9999,World Cup 2025,final,Ryo,OMASA,,male,JPN,,,,True,season_total,3410
,4,speed,2025,2025-10-31,9999,World Cup 2025,final,Jianguo,LONG,,male,CHN,,,,True,season_total,3315
,5,speed,2025,2025-10-31,9999,World Cup 2025,final,Shouhong,CHU,,male,CHN,,,,True,season_total,3110
,6,speed,2025,2025-10-31,9999,World Cup 2025,final,Zach,HAMMER,,male,USA,,,,True,season_total,2946
,7,speed,2025,2025-10-31,9999,World Cup 2025,final,Amir,MAIMURATOV,,male,KAZ,,,,True,season_total,2625
,8,speed,2025,2025-10-31,9999,World Cup 2025,final,Raharjati,NURSAMSA,,male,INA,,,,True,season_total,2505
,9,speed,2025,2025-10-31,9999,World Cup 2025,final,Leander,CARMANNS,,male,GER,,,,True,season_total,1990
,10,speed,2025,2025-10-31,9999,World Cup 2025,final,Yaroslav,TKACH,,male,UKR,,,,True,season_total,1900
